volatile_acidity,density,free_sulfur_dioxide,fixed_acidity,pH,quality,alcohol,citric_acid,sulphates,total_sulfur_dioxide,residual_sugar,chlorides,wine_type
0.26,0.99376,37.0,6.9,3.32,6.0,11.4,0.31,0.49,175.0,7.0,0.039,White
0.56,0.9972,35.0,9.5,3.28,7.0,11.8,0.33,0.73,67.0,2.4,0.089,Red
0.58,0.99568,7.0,7.2,3.35,5.0,10.0,0.03,0.52,28.0,2.3,0.077,Red
0.705,0.9964,15.0,7.5,3.0,5.0,9.5,0.24,1.59,63.0,1.8,0.36,Red
0.26,0.99347,35.0,6.0,3.08,5.0,8.8,0.15,0.46,124.0,1.2,0.053,White
0.53,0.98856,34.0,5.4,3.2,8.0,13.2,0.16,0.53,128.0,2.7,0.036,White
0.41,0.9949,22.0,6.9,3.41,6.0,11.1,0.33,0.75,36.0,2.2,0.081,Red
0.35,0.9897,28.0,7.1,3.26,7.0,13.1,0.27,0.38,134.0,3.1,0.034,White
0.695,0.998,3.0,7.3,3.49,5.0,9.2,0.0,0.52,13.0,2.5,0.075,Red
0.57,0.99491,32.0,6.8,3.43,6.0,11.2,0.0,0.56,64.0,2.5,0.072,Red
0.255,0.99048,29.0,5.4,3.37,6.0,11.3,0.33,0.66,122.0,1.2,0.051,White
0.42,0.99794,61.0,6.7,3.31,5.0,9.7,0.39,0.58,248.0,12.1,0.04,White
0.42,0.9906,18.0,5.5,3.33,7.0,11.4,0.09,0.51,68.0,1.6,0.019,White
0.25,0.9982,28.0,6.2,3.48,6.0,9.6,0.21,0.64,159.0,15.55,0.039,White
0.24,0.997,64.0,6.7,3.15,5.0,9.5,0.35,0.5,205.0,13.1,0.05,White
0.24,0.99545,45.0,6.2,3.23,5.0,9.3,0.22,0.52,149.0,7.9,0.053,White
0.25,0.9908,30.0,7.1,3.28,8.0,12.2,0.39,0.43,124.0,2.1,0.036,White
0.32,0.99346,4.0,6.8,3.27,5.0,10.7,0.43,0.47,65.0,1.6,0.05,White
0.265,0.99299,46.0,5.7,3.36,7.0,10.8,0.28,0.44,150.0,6.9,0.036,White
0.21,0.9933,41.0,6.2,3.49,7.0,10.5,0.27,0.71,150.0,1.7,0.038,White
0.25,0.9942,8.0,7.3,3.18,5.0,11.5,0.39,0.46,84.0,6.4,0.034,White
0.17,0.99056,38.0,6.6,3.05,6.0,11.4,0.36,0.54,110.0,1.9,0.036,White
0.55,0.99655,15.0,7.4,3.49,5.0,10.5,0.19,0.68,34.0,1.8,0.082,Red
0.32,0.9948,61.0,6.2,3.19,5.0,9.6,0.5,0.45,186.0,6.5,0.048,White
0.22,0.9913,24.0,6.7,3.29,7.0,11.6,0.37,0.59,102.0,1.6,0.028,White
0.18,0.99572,42.0,6.7,3.08,7.0,9.8,0.31,0.49,143.0,10.6,0.035,White
0.21,0.99036,31.0,6.2,3.24,6.0,11.3,0.24,0.57,95.0,1.2,0.051,White
0.23,0.9966,12.0,8.2,3.06,6.0,9.7,0.4,0.84,76.0,7.5,0.049,White
0.33,0.9917,30.0,6.4,3.12,6.0,10.5,0.28,0.42,110.0,1.1,0.038,White
0.23,0.99452,47.0,6.8,3.08,6.0,10.5,0.32,0.52,159.0,8.6,0.046,White
0.33,0.99425,24.0,6.3,3.15,5.0,9.9,0.2,0.63,144.0,5.8,0.04,White
0.22,0.9952,18.0,9.2,3.04,4.0,9.3,0.4,0.46,151.0,2.4,0.054,White
0.24,0.9908,30.0,6.4,3.12,7.0,11.4,0.23,0.54,133.0,2.0,0.046,White
0.22,0.9939,29.0,7.3,2.99,7.0,11.0,0.49,0.32,134.0,9.4,0.034,White
0.32,0.99916,51.0,6.3,3.13,6.0,8.8,0.17,0.48,190.0,17.75,0.06,White
0.34,0.9952,21.0,7.3,3.35,7.0,12.1,0.33,0.77,37.0,2.5,0.064,Red
0.57,0.99675,17.0,8.0,3.26,5.0,9.3,0.23,0.57,119.0,3.2,0.073,Red
0.28,0.99911,36.0,6.0,3.14,5.0,9.0,0.29,0.5,174.0,19.3,0.051,White
0.32,0.9906,44.0,7.5,3.07,6.0,12.5,0.49,0.46,109.0,1.7,0.031,White
0.18,0.99074,26.0,6.3,3.16,6.0,11.0,0.36,0.51,111.0,1.2,0.034,White
0.32,0.99794,66.0,7.7,3.0,5.0,9.3,0.61,0.54,188.0,11.8,0.041,White
0.38,0.9906,7.0,7.6,3.0,6.0,12.6,0.28,0.41,112.0,4.2,0.029,White
0.25,0.99434,34.0,7.6,3.1,5.0,9.5,0.34,0.51,176.0,1.3,0.056,White
0.21,0.99176,21.0,7.9,3.05,5.0,10.9,0.39,0.52,138.0,2.0,0.057,White
0.39,0.99174,45.0,6.2,3.23,7.0,11.2,0.24,0.43,138.0,4.8,0.037,White
0.19,0.994,26.0,7.4,2.99,7.0,11.0,0.49,0.32,132.0,9.3,0.03,White
0.32,0.991,23.0,5.7,3.42,7.0,11.8,0.38,0.42,94.0,4.75,0.033,White
0.56,0.99438,15.0,6.8,3.4,6.0,11.2,0.22,0.82,24.0,1.8,0.074,Red
0.37,0.9995,25.0,12.5,3.15,6.0,10.4,0.55,0.82,68.0,2.6,0.083,Red
0.31,0.98952,19.0,6.0,3.32,7.0,12.7,0.27,0.41,120.0,2.3,0.042,White
0.34,0.9992,20.0,10.6,3.19,6.0,10.0,0.49,0.7,78.0,3.2,0.078,Red
0.27,0.98889,29.0,5.4,3.33,6.0,13.8,0.22,0.54,107.0,4.6,0.022,White
0.44,0.9913,28.0,5.7,3.33,6.0,12.5,0.13,0.48,173.0,7.0,0.025,White
0.24,0.99579,59.0,6.8,3.2,6.0,9.4,0.37,0.5,188.0,7.45,0.043,White
0.49,0.9986,6.0,13.8,3.02,6.0,12.0,0.67,0.93,15.0,3.0,0.093,Red
0.2,0.99278,22.0,5.3,3.41,6.0,9.8,0.31,0.5,91.0,3.6,0.036,White
0.29,0.99313,35.0,6.2,3.25,5.0,10.5333333333333,0.29,0.51,178.0,5.6,0.046,White
0.61,0.9993,24.0,8.0,2.94,5.0,9.2,0.38,0.48,220.0,12.1,0.301,White
0.395,0.99362,14.0,5.9,3.62,6.0,12.4,0.13,0.67,28.0,2.4,0.056,Red
0.34,0.998,5.0,9.4,3.22,5.0,9.2,0.37,0.62,13.0,2.2,0.075,Red
0.635,0.99745,15.0,8.4,3.31,4.0,10.4,0.36,0.57,55.0,2.0,0.089,Red
0.36,0.9917,45.0,5.9,3.33,6.0,10.6,0.41,0.51,104.0,1.3,0.047,White
0.29,0.995,35.0,8.1,3.27,7.0,12.4,0.36,1.01,53.0,2.2,0.048,Red
0.32,0.99938,58.0,6.9,3.34,6.0,9.0,0.27,0.6,185.0,16.0,0.034,White
0.2,0.995,38.0,6.1,3.14,3.0,10.1,0.34,0.44,201.0,9.5,0.041,White
0.41,0.99672,20.0,6.6,3.08,6.0,9.0,0.27,0.41,103.0,10.7,0.11,White
0.4,0.98988,15.0,6.4,3.26,6.0,13.1,0.25,0.52,91.0,4.2,0.032,White
0.41,0.9973,10.0,9.4,3.34,7.0,12.2,0.48,0.79,20.0,4.6,0.072,Red
0.25,0.99338,19.0,7.3,3.38,6.0,10.1,0.28,0.56,113.0,1.5,0.043,White
0.27,0.98956,58.0,5.0,3.45,7.0,12.6,0.32,0.31,178.0,4.5,0.032,White
0.33,0.99458,29.0,5.8,3.13,5.0,9.0,0.23,0.52,106.0,5.0,0.053,White
0.14,0.9966,53.0,6.5,3.25,5.0,8.6,0.33,0.49,189.0,7.6,0.05,White
0.4,0.992,50.0,5.9,3.51,7.0,12.5,0.32,0.58,127.0,6.0,0.034,White
0.3,0.994,14.0,6.3,3.3,6.0,9.5,0.34,0.49,132.0,1.6,0.049,White
0.69,0.99572,15.0,7.0,3.38,6.0,11.3,0.07,0.6,21.0,2.5,0.091,Red
0.19,0.9986,48.5,7.4,3.14,7.0,9.1,0.3,0.49,229.0,12.8,0.053,White
0.29,0.99037,25.0,6.4,3.29,7.0,12.4,0.3,0.6,79.0,2.9,0.036,White
0.24,0.99045,15.0,6.7,3.15,6.0,12.7,0.26,0.38,94.0,5.4,0.03,White
0.31,0.99444,17.0,8.3,3.31,7.0,12.5,0.39,0.77,43.0,2.4,0.078,Red
0.4,0.996,36.0,6.9,3.16,5.0,9.3,0.37,0.5,148.0,8.9,0.053,White
0.38,0.9968,13.0,8.1,3.23,7.0,9.7,0.28,0.73,30.0,2.1,0.066,Red
0.15,0.99792,29.0,7.0,2.96,7.0,9.0,0.28,0.39,149.0,14.7,0.051,White
0.635,0.99736,16.0,7.4,3.58,7.0,10.8,0.1,0.69,33.0,2.4,0.08,Red
0.16,0.99306,38.0,8.3,2.93,6.0,11.9,0.37,0.37,107.0,7.9,0.025,White
0.43,0.9906,27.0,6.8,3.0,6.0,12.0,0.3,0.37,135.0,3.5,0.033,White
0.32,0.99168,26.0,5.3,3.18,6.0,12.2,0.23,0.53,119.0,9.65,0.026,White
0.22,0.99862,41.0,5.7,3.22,6.0,8.9,0.2,0.46,113.0,16.0,0.044,White
0.2,0.99855,44.0,7.7,3.11,6.0,10.0,0.44,0.48,130.0,13.9,0.05,White
0.775,0.9965,8.0,6.8,3.45,5.0,10.7,0.0,0.56,23.0,3.0,0.102,Red
0.33,0.9919,49.0,6.0,3.41,6.0,11.0,0.2,0.53,159.0,1.8,0.031,White
0.29,0.99153,41.0,7.8,3.24,5.0,11.5,0.29,0.35,117.0,3.15,0.044,White
0.36,0.99667,5.0,9.2,3.2,6.0,10.5,0.34,0.67,12.0,1.6,0.062,Red
0.32,0.991,23.0,5.8,3.42,7.0,11.8,0.38,0.42,94.0,4.75,0.033,White
0.405,0.99125,10.0,5.2,3.52,4.0,11.6,0.15,0.4,44.0,1.45,0.038,White
0.46,0.99016,12.0,6.7,3.26,6.0,13.0,0.21,0.54,88.0,4.0,0.034,White
0.39,0.991,36.0,7.3,3.39,8.0,12.7,0.37,0.48,113.0,1.1,0.043,White
0.24,0.9927,37.0,6.8,3.2,5.0,10.6,0.34,0.39,135.0,4.6,0.032,White
0.34,0.9988,6.0,11.3,2.94,6.0,9.2,0.45,0.66,15.0,2.0,0.082,Red
0.3,0.99382,28.0,7.7,3.11,5.0,9.8,0.23,0.62,138.0,2.0,0.068,White
0.45,0.9905,10.0,6.4,2.97,5.0,10.8,0.07,0.28,131.0,1.1,0.03,White
0.58,0.9973,21.0,8.0,3.22,6.0,9.4,0.28,0.54,114.0,3.2,0.066,Red
0.32,0.9994,3.0,10.0,3.2,5.0,9.6,0.59,0.78,15.0,2.2,0.077,Red
0.58,0.9966,8.0,6.2,3.56,5.0,9.4,0.0,0.84,18.0,1.6,0.065,Red
0.37,0.98883,24.0,5.7,3.18,6.0,11.7,0.3,0.39,88.0,1.1,0.029,White
0.42,0.99772,26.0,6.6,3.24,5.0,9.0,0.13,0.47,158.0,12.8,0.044,White
0.51,0.99396,15.0,6.2,3.48,6.0,11.5,0.14,0.57,34.0,1.9,0.056,Red
0.19,0.9916,67.0,6.0,3.54,7.0,11.1,0.29,0.59,152.0,1.1,0.047,White
0.2,0.9914,18.0,6.4,3.43,6.0,12.0,0.32,0.42,126.0,3.1,0.041,White
0.78,0.9978,13.0,8.2,3.37,4.0,9.6,0.0,0.46,26.0,2.2,0.089,Red
0.36,0.99184,44.0,6.2,3.22,6.0,11.2,0.22,0.4,145.0,5.25,0.038,White
0.23,0.99279,17.0,7.2,3.1,6.0,11.7,0.46,0.78,85.0,6.4,0.036,White
0.48,0.9964,10.0,8.7,3.33,7.0,11.2,0.3,0.67,28.0,2.8,0.066,Red
0.2,0.9936,36.0,6.9,3.19,6.0,9.1,0.28,0.43,159.0,1.2,0.048,White
0.42,0.9968,15.0,7.6,3.21,5.0,10.0,0.08,0.59,48.0,2.7,0.084,Red
0.21,0.9958,36.0,7.0,3.26,6.0,9.8,0.37,0.56,167.0,7.2,0.042,White
0.17,0.9924,45.0,6.1,3.2,6.0,10.2,0.27,0.43,135.0,1.5,0.056,White
0.21,0.99324,65.0,7.1,2.97,5.0,9.2,0.72,0.51,120.0,1.6,0.167,White
0.53,0.9978,6.0,11.6,3.05,7.0,11.5,0.66,0.74,14.0,3.65,0.121,Red
0.34,0.9977,49.0,6.3,3.23,5.0,9.5,0.28,0.46,198.0,14.7,0.047,White
0.56,1.0005,51.0,8.5,2.99,5.0,9.2,0.74,0.7,243.0,17.85,0.051,White
0.65,0.9972,8.0,7.0,3.47,6.0,9.5,0.02,0.67,25.0,2.1,0.066,Red
0.32,0.98964,34.0,5.9,3.22,7.0,13.1,0.28,0.57,94.0,4.7,0.039,White
0.34,0.9917,17.0,7.4,3.12,6.0,11.3,0.42,0.53,171.0,1.1,0.033,White
0.26,0.99174,18.0,5.6,3.32,6.0,10.2,0.18,0.35,135.0,1.4,0.034,White
0.19,0.994,26.0,7.4,2.99,7.0,11.0,0.49,0.32,132.0,9.3,0.03,White
0.62,0.99332,8.0,7.2,3.32,6.0,11.8,0.01,0.51,46.0,2.3,0.065,Red
0.17,0.99596,26.0,6.4,3.34,6.0,9.9,0.27,0.5,101.0,9.9,0.047,White
0.28,0.9898,32.0,6.1,3.36,6.0,12.6,0.22,0.44,116.0,1.8,0.034,White
0.36,0.998,10.0,10.2,3.23,6.0,12.5,0.64,0.66,41.0,2.9,0.122,Red
0.28,0.9953,61.0,6.0,3.19,5.0,9.3,0.49,0.47,222.0,6.8,0.048,White
0.21,0.98953,17.0,5.2,3.24,7.0,12.0,0.31,0.37,61.0,1.7,0.048,White
0.55,1.0004,20.0,9.7,3.14,5.0,9.4,0.17,0.61,53.0,2.9,0.087,Red
0.5,0.9955,6.0,6.6,3.39,6.0,9.4,0.04,0.64,14.0,2.1,0.068,Red
0.22,0.993,15.0,7.0,3.2,6.0,10.6,0.33,0.41,76.0,2.1,0.052,White
0.15,0.99137,14.0,5.8,3.19,6.0,10.2,0.32,0.5,119.0,1.2,0.037,White
0.35,0.99822,42.0,7.6,3.04,5.0,9.2,0.47,0.5,116.0,13.3,0.037,White
0.58,0.99633,12.0,7.0,3.32,6.0,11.0,0.28,0.7,69.0,4.8,0.085,Red
0.23,0.99372,16.0,7.0,3.18,5.0,9.3,0.28,0.56,92.0,2.7,0.053,White
0.24,0.99476,51.0,6.1,3.22,6.0,10.8,0.27,0.37,133.0,11.5,0.05,White
0.24,0.99324,68.0,6.8,3.1,6.0,10.2,0.33,0.69,161.0,3.2,0.049,White
0.57,0.9963,12.0,9.9,3.04,5.0,10.1,0.25,0.9,89.0,2.0,0.104,Red
0.11,0.99454,45.0,6.8,3.2,6.0,9.9,0.27,0.37,104.0,8.6,0.044,White
0.13,0.99162,52.0,6.7,3.06,6.0,11.3,0.45,0.54,131.0,4.2,0.043,White
0.28,0.9956,44.0,6.5,3.32,6.0,10.2,0.26,0.37,139.0,8.8,0.04,White
0.24,0.99538,47.0,6.4,3.12,5.0,9.5,0.26,0.5,182.0,8.2,0.054,White
0.43,0.99742,42.0,7.7,3.29,6.0,12.0,1.0,0.5,164.0,19.95,0.032,White
0.16,0.9933,20.0,6.4,3.61,6.0,10.2,0.25,0.54,77.0,1.3,0.047,White
0.28,0.9994,47.0,7.0,3.34,6.0,8.8,0.33,0.67,168.0,14.6,0.043,White
0.32,0.99434,12.0,8.5,3.14,7.0,11.8,0.42,0.71,19.0,2.3,0.075,Red
0.38,0.99026,38.0,7.5,3.08,7.0,13.0,0.29,0.48,113.0,4.9,0.021,White
0.39,0.9948,27.0,6.7,3.46,6.0,10.5,0.31,0.57,202.0,2.7,0.054,White
0.26,0.99315,13.0,5.6,3.44,6.0,12.4,0.0,0.46,111.0,10.2,0.038,White
0.18,0.998,46.0,7.8,3.06,6.0,8.9,0.31,0.53,140.0,12.2,0.053,White
0.44,0.98954,13.0,6.6,3.1,6.0,12.8,0.32,0.63,75.0,3.0,0.095,White
0.6,0.99514,24.0,7.1,3.4,6.0,10.9,0.01,0.61,37.0,2.3,0.079,Red
0.28,0.99158,30.0,7.0,3.12,7.0,12.8,0.32,0.64,114.0,7.75,0.032,White
0.34,0.9906,20.0,5.6,3.36,7.0,11.2,0.1,0.51,68.0,1.3,0.031,White
0.14,0.9954,44.0,7.9,3.45,6.0,9.2,0.28,0.43,178.0,1.8,0.041,White
0.26,0.9986,35.0,7.1,3.07,7.0,9.1,0.34,0.53,189.0,14.4,0.067,White
0.61,0.9954,15.0,8.2,3.14,5.0,9.6,0.45,0.34,118.0,5.4,0.03,White
0.24,0.99884,26.0,7.5,3.05,6.0,9.1,0.31,0.53,180.0,13.1,0.05,White
0.28,0.9917,30.0,8.2,3.09,5.0,11.4,0.42,0.39,93.0,1.8,0.031,White
0.31,0.9952,47.0,6.0,3.19,6.0,9.4,0.32,0.5,159.0,7.4,0.175,White
0.53,0.99678,33.0,8.1,3.26,6.0,9.6,0.22,0.46,89.0,2.2,0.078,Red
0.25,0.9906,42.0,6.4,3.19,7.0,11.3,0.33,0.48,115.0,1.4,0.04,White
0.25,0.9986,30.0,6.7,3.44,6.0,9.5,0.34,0.47,161.0,12.85,0.048,White
0.42,0.98968,28.0,7.1,3.23,6.0,13.4,0.2,0.47,109.0,2.8,0.038,White
0.38,1.0006,5.0,13.2,2.98,5.0,9.4,0.55,0.54,16.0,2.7,0.081,Red
0.22,0.9958,22.0,6.9,3.34,7.0,10.7,0.32,0.54,110.0,9.3,0.04,White
0.13,0.9927,35.0,6.7,3.33,7.0,10.1,0.28,0.33,140.0,1.2,0.046,White
0.41,0.99668,21.0,6.9,3.47,6.0,9.5,0.31,0.55,51.0,2.0,0.079,Red
0.49,1.0007,34.0,8.7,2.98,5.0,9.0,0.57,0.82,243.0,17.8,0.052,White
0.3,0.9906,29.0,7.1,3.12,6.0,12.7,0.46,0.54,133.0,1.5,0.066,White
0.3,0.991,33.0,7.8,3.29,6.0,12.8,0.74,0.52,156.0,1.8,0.033,White
0.33,0.99657,52.0,6.1,3.39,5.0,9.5,0.32,0.65,183.0,7.8,0.052,White
0.24,0.9898,36.0,6.5,3.28,7.0,12.5,0.36,0.36,134.0,2.2,0.027,White
0.38,0.9906,28.0,7.7,3.18,6.0,12.9,0.4,0.32,152.0,2.0,0.038,White
0.615,0.99727,24.0,6.9,3.19,5.0,9.3,0.42,0.34,131.0,12.0,0.067,White
0.615,0.9972,9.0,6.5,3.46,5.0,9.2,0.0,0.65,18.0,1.9,0.065,Red
0.42,0.9979,7.0,10.0,3.26,6.0,11.8,0.5,0.93,21.0,3.4,0.107,Red
0.41,0.9986,9.0,8.8,3.54,5.0,10.5,0.64,0.66,42.0,2.2,0.093,Red
0.58,0.99779,9.0,9.0,3.23,5.0,9.7,0.25,0.57,104.0,2.8,0.075,Red
0.44,0.9974,10.0,6.9,3.32,6.0,9.5,0.42,0.46,147.0,8.5,0.048,White
0.25,0.99555,67.0,7.7,3.1,5.0,10.1,0.3,0.5,196.0,7.8,0.038,White
0.29,0.9966,59.0,7.0,3.05,5.0,9.5,0.54,0.61,234.0,10.7,0.046,White
0.28,0.99161,37.0,6.0,3.28,7.0,11.8,0.52,0.51,104.0,6.2,0.028,White
0.36,0.99716,26.0,7.6,3.46,6.0,9.5,0.31,0.62,65.0,1.7,0.079,Red
0.59,0.9964,27.0,8.9,3.04,6.0,9.5,0.5,1.61,81.0,2.0,0.337,Red
0.17,0.99752,45.0,6.4,3.06,6.0,9.1,0.34,0.43,139.0,13.4,0.044,White
0.6,0.9966,13.0,7.0,3.52,7.0,10.2,0.12,0.62,28.0,2.2,0.083,Red
0.17,0.9958,49.0,7.1,3.35,6.0,9.6,0.38,0.52,182.0,7.4,0.052,White
0.19,0.994,22.0,6.9,3.11,6.0,10.8,0.39,0.66,84.0,8.0,0.028,White
0.25,0.99406,15.0,8.0,2.99,6.0,11.2,0.27,0.36,85.0,9.7,0.036,White
0.3,0.9956,22.0,7.6,3.12,5.0,9.2,0.25,0.49,111.0,4.3,0.054,White
0.36,0.9907,21.0,5.7,3.41,6.0,11.9,0.34,0.45,77.0,4.2,0.026,White
0.67,0.9976,6.0,10.2,3.17,5.0,10.0,0.39,0.47,17.0,1.9,0.054,Red
1.18,0.99532,14.0,8.0,3.34,5.0,10.5,0.21,0.47,41.0,1.9,0.083,Red
0.53,0.99585,5.0,9.7,3.3,6.0,12.4,0.6,0.86,19.0,2.0,0.039,Red
0.66,0.9999,62.0,8.0,2.92,4.0,9.4,0.72,0.68,233.0,17.55,0.042,White
0.27,0.99335,26.0,7.1,3.04,7.0,11.5,0.27,0.52,114.0,10.4,0.041,White
0.32,0.99268,25.0,5.6,3.25,6.0,11.1,0.33,0.49,95.0,7.4,0.037,White
0.43,0.992,24.0,5.7,3.54,7.0,12.3,0.3,0.61,98.0,5.7,0.039,White
0.4,0.99754,59.0,6.9,3.08,5.0,9.4,0.17,0.49,186.0,12.9,0.033,White
0.24,0.99176,18.0,7.0,3.19,6.0,11.0,0.47,0.45,131.0,1.3,0.043,White
0.47,0.99518,22.0,7.1,3.12,8.0,12.0,0.29,0.48,142.0,14.8,0.024,White
0.52,0.99528,34.0,7.4,3.43,6.0,10.8,0.13,0.59,61.0,2.4,0.078,Red
0.52,0.9955,13.0,6.5,3.34,5.0,9.3,0.11,0.52,38.0,1.8,0.073,Red
0.52,0.99774,6.0,10.4,3.22,6.0,11.4,0.45,0.76,13.0,2.0,0.08,Red
0.2,0.99194,31.0,8.5,3.0,4.0,10.5,0.4,0.35,106.0,1.1,0.046,White
0.37,0.9963,34.0,7.2,3.1,6.0,9.8,0.4,0.51,214.0,11.6,0.032,White
0.28,1.001,48.0,6.8,2.93,5.0,8.7,0.4,0.5,167.0,22.0,0.048,White
0.685,0.9964,20.0,7.6,3.21,5.0,9.3,0.23,0.61,84.0,2.3,0.111,Red
0.46,0.99114,28.0,6.8,3.38,8.0,12.0,0.26,0.51,83.0,2.7,0.042,White
0.12,0.99564,41.0,7.0,3.19,8.0,9.8,0.29,0.38,98.0,10.3,0.039,White
0.25,0.99655,78.0,6.2,3.25,6.0,9.5,0.48,0.47,240.0,10.0,0.044,White
0.29,0.9951,43.0,7.4,3.1,6.0,10.6,0.28,0.47,138.0,10.2,0.032,White
0.23,0.99207,19.0,6.8,3.17,7.0,10.7,0.3,0.46,95.0,1.7,0.043,White
0.15,0.993,32.0,8.3,3.08,6.0,10.5,0.39,0.39,146.0,1.3,0.055,White
0.31,0.99189,42.0,6.4,3.18,7.0,11.9,0.5,0.53,111.0,5.8,0.038,White
0.22,0.99076,36.0,6.5,3.27,7.0,11.9,0.32,0.59,92.0,2.2,0.028,White
0.16,0.9915,28.0,7.1,3.27,6.0,11.4,0.25,0.55,123.0,1.3,0.034,White
0.23,0.99305,24.0,7.6,3.12,5.0,10.4,0.34,0.7,129.0,1.6,0.043,White
0.77,0.9976,34.0,6.8,3.62,5.0,9.9,0.0,0.68,52.0,1.8,0.066,Red
0.21,0.9962,37.0,7.2,3.09,6.0,9.6,0.34,0.5,213.0,11.9,0.043,White
0.17,0.99146,33.0,6.6,3.22,6.0,11.3,0.35,0.72,78.0,2.6,0.03,White
0.36,0.9956,4.0,9.8,2.89,4.0,10.1,0.46,0.3,83.0,10.5,0.038,White
0.34,0.99554,24.0,8.3,3.34,6.0,11.0,0.4,0.86,48.0,2.4,0.065,Red
0.55,0.9964,7.0,7.6,3.28,5.0,9.7,0.21,0.55,28.0,2.2,0.071,Red
0.32,0.9986,36.0,6.4,3.26,5.0,9.1,0.23,0.54,176.0,16.2,0.055,White
0.25,1.0004,44.0,6.7,3.51,6.0,9.8,0.74,0.45,169.0,19.4,0.054,White
0.62,0.98758,24.0,5.5,3.15,6.0,13.55,0.33,0.39,118.0,1.7,0.037,White
0.18,0.9931,38.0,7.4,3.16,7.0,10.0,0.31,0.53,167.0,1.4,0.058,White
0.25,0.98984,28.0,6.6,2.87,6.0,11.2,0.25,0.48,85.0,1.3,0.04,White
0.155,0.98975,13.0,5.2,3.3,8.0,11.9,0.33,0.84,59.0,1.6,0.028,White
